Year,Month,Day,Precipitation,TempAirMax,TempAirMin,patch
1980,1,1,NA,16.5124195,1.3068327,1
1980,1,2,NA,11,-1,0
1980,1,3,NA,13,-2,0
1980,1,4,NA,15.8800165,-1.6183632,1
1980,1,5,NA,17.039422,-1.6183632,1
1980,1,6,NA,19.4636335,3.7888171,1
1980,1,7,NA,17.671825,3.7888171,1
1980,1,8,NA,15.8800165,3.2569633,1
1980,1,9,0,13,5.5,0
1980,1,10,0,13,4,0
1980,1,11,0,12.5,3.5,0
1980,1,12,0,16.5,4,0
1980,1,13,0,19,4,0
1980,1,14,3.81,21.5,6,0
1980,1,15,0,16,2,0
1980,1,16,0,15,2.5,0
1980,1,17,0,17,5,0
1980,1,18,0,18,10,0
1980,1,19,0,17.5,-1.5,0
1980,1,20,0,12.5,5,0
1980,1,21,5.588,6,0,0
1980,1,22,0,3.5,-4,0
1980,1,23,0,4.5,-4,0
1980,1,24,0,12.5,-2.5,0
1980,1,25,0,17,0,0
1980,1,26,0,17,2,0
1980,1,27,0,17,3,0
1980,1,28,0,17,5,0
1980,1,29,0,17.5,9,0
1980,1,30,0,16,3.5,0
1980,1,31,5.842,5.5,1,0
1980,2,1,0,13,2,0
1980,2,2,0,18,3.5,0
1980,2,3,0,22.5,5,0
1980,2,4,0,23,7,0
1980,2,5,0,21,4,0
1980,2,6,0,21,4.5,0
1980,2,7,0,17.5,2,0
1980,2,8,16.764,1,-5,0
1980,2,9,0,2.5,-10,0
1980,2,10,0,6,-7,0
1980,2,11,0,4,-2,0
1980,2,12,0,13,3,0
1980,2,13,1.524,13,6.5,0
1980,2,14,6.858,13,9.5,0
1980,2,15,2.286,17.5,2.5,0
1980,2,16,0,14,6.5,0
1980,2,17,2.286,16.5,5,0
1980,2,18,0,21,8,0
1980,2,19,0,19,9,0
1980,2,20,0.508,16,1,0
1980,2,21,0,17,2,0
1980,2,22,0,17,3.5,0
1980,2,23,0,18,3,0
1980,2,24,0,19,4,0
1980,2,25,0,20.5,3,0
1980,2,26,0,22,7.5,0
1980,2,27,0,24,8,0
1980,2,28,0,24,6.5,0
1980,2,29,0,23,6.5,0
1980,3,1,0,16,1,0
1980,3,2,0,16,6.5,0
1980,3,3,0,21,5,0
1980,3,4,0,19,2.5,0
1980,3,5,0,21,2,0
1980,3,6,0,21.5,7,0
1980,3,7,0,19.5,1,0
1980,3,8,0,22,4,0
1980,3,9,0,19,8.5,0
