month,year,x,date
4,1984,1885.058345,4/1/1984
4,1985,2026.520862,4/1/1985
,1986,NA,
2,1987,1664.05142,2/1/1987
4,1987,2040.929779,4/1/1987
4,1988,1757.385503,4/1/1988
4,1989,1589.135099,4/1/1989
,1990,NA,
4,1991,1730.101584,4/1/1991
4,1992,2456.00606,4/1/1992
3,1993,2135.397681,3/1/1993
3,1994,1327.766623,3/1/1994
5,1994,1336.804017,5/1/1994
3,1995,3362.84072,3/1/1995
,1996,NA,
3,1997,2250.009522,3/1/1997
2,1998,1887.5509,2/1/1998
4,1998,1983.608553,4/1/1998
12,1998,2230.766707,12/1/1998
5,1999,1260.670101,5/1/1999
1,2000,1546.561807,1/1/2000
2,2001,3265.341816,2/1/2001
3,2002,1519.166898,3/1/2002
2,2003,1442.001472,2/1/2003
5,2003,1329.105725,5/1/2003
3,2004,2177.303584,3/1/2004
3,2005,3148.69659,3/1/2005
2,2006,1359.242902,2/1/2006
,2007,NA,
3,2008,1448.927935,3/1/2008
4,2009,1231.90045,4/1/2009
4,2010,2237.146814,4/1/2010
5,2011,1382.423607,5/1/2011
