"year","month","sumprecip","maxtemp","mintemp","patch","pptpatch"
1980,1,16.636391,23.664564,-4.961856,1,1
1980,2,30.226,24,-10,0,0
1980,3,5.08,24.5,-1,0,0
1980,4,0.508,31,-2,0,0
1980,5,0.508,34,2,0,0
1980,6,10.922,41,10,0,0
1980,7,60.706,39,18,0,0
1980,8,54.102,38,15,0,0
1980,9,58.674,36,13,0,0
1980,10,1.778,34,-2,0,0
1980,11,14.478,29.080514,-3.214664,1,0
1980,12,2.286,24,-4,0,0
1981,1,30.226,21.173227,-2.700784,1,0
1981,2,10.668,26,-3.5,0,0
1981,3,34.036,26.047582,-0.439712,1,0
1981,4,10.414,32,0,0,0
1981,5,3.048,33.196636,7.576816,1,0
1981,6,77.724,41.103923,10.968424,1,0
1981,7,81.28,39.4,11.1,0,0
1981,8,15.494,40.6,8.3,0,0
1981,9,56.134,37.8,8.3,0,0
1981,10,25.146,29.080514,0.176944,1,0
1981,11,1.016,31.7,-4.5,0,0
1981,12,33.528,22,-4.5,0,0
1982,1,25.654,23.5,-6.5,0,0
1982,2,10.668,24,-6,0,0
1982,3,21.59,25,-4,0,0
1982,4,4.572,30.813618,3.054672,1,0
1982,5,10.668,33.5,5,0,0
1982,6,4.318,37,11.5,0,0
1982,7,33.02,39.2625,14.976688,1,0
1982,8,72.644,34,15,0,0
1982,9,66.802,36,7.5,0,0
1982,10,0,31,2,0,0
1982,11,67.056,23.5,-2.5,0,0
1982,12,58.907822,18,-10,0,1
1983,1,12.785296,23.01465,-10.100656,1,1
1983,2,25.879019,24.206159,-2.084128,1,1
1983,3,32.766,26.047582,1.30748,1,0
1983,4,9.398,26,-4,0,0
1983,5,0.254,33,4,0,0
1983,6,0,35.5,10,0,0
1983,7,88.9,37,13,0,0
1983,8,4.572,35,16.5,0,0
1983,9,69.781502,38.070991,NA,1,1
1983,10,89.408,28.5,8,0,0
1983,11,45.72,27.239091,-1.570248,1,0
1983,12,27.432,23.01465,-2.700784,1,0
1984,1,24.65573,18,-4.5,0,1
1984,2,0,20,-4.5,0,0
1984,3,0,24,-6,0,0
1984,4,3.556,28,-1,0,0
1984,5,2.54,35.5,7.062936,1,0
1984,6,21.336,34,13.846152,1,0
1984,7,39.878,36.879482,17.854416,1,0
1984,8,78.486,35.687973,17.340536,1,0
1984,9,23.368,35.038059,10.454544,1,0
1984,10,55.88,28.4306,6.44628,1,0
1984,11,18.796,26,-4,0,0
1984,12,78.74,20.631632,-2.084128,1,0
1985,1,NA,27.239091,-3.83132,1,1
1985,2,19.762574,23,-6,0,1
1985,3,9.398,25,-1,0,0
1985,4,26.162,28.5,2,0,0
1985,5,0,32,6,0,0
1985,6,38.608,37,8.5,0,0
1985,7,93.98,36,15.5,0,0
1985,8,81.28,36.229568,13.332272,1,0
1985,9,71.12,31,7,0,0
1985,10,106.426,32.005127,7.062936,1,0
1985,11,12.192,26.589177,-2.084128,1,0
1985,12,7.62,21.823141,-5.578512,1,0
1986,1,2.032,28.6,-5.6,0,0
1986,2,24.892,25,-3.3,0,0
1986,3,25.199414,27.780686,1.30748,1,1
1986,4,0,31.463532,2.438016,1,0
1986,5,5.842,32,4.5,0,0
1986,6,15.59433,35,10.5,0,1
1986,7,68.326,36.5,13.5,0,0
1986,8,62.992,35,14,0,0
1986,9,40.386,33.84655,7.576816,1,0
1986,10,62.738,29.080514,4.185208,1,0
1986,11,6.096,23.01465,-0.953592,1,0
1986,12,11.176,18,-3,0,0
1987,1,9.160736,24.12043,-8.026808,1,1
1987,2,18.539285,23.105405,-2.675224,1,1
1987,3,3.556,23.9,-1.7,0,0
1987,4,17.78,29.4,2.2,0,0
1987,5,9.652,28.9,7.2,0,0
1987,6,7.62,38.51533,11.659376,1,0
1987,7,89.408,39.530355,13.283964,1,0
1987,8,53.594,35.37798,14.335168,1,0
1987,9,46.482,34.916605,9.556968,1,0
1987,10,12.7,32.79428,7.358996,1,0
1987,11,5.08,25.6,0,0,0
1987,12,49.53,23.3,-3.9,0,0
1988,1,22.352,21.53673,-5.828836,1,0
1988,2,33.274,26.15048,-2.675224,1,0
1988,3,6.096,29.749205,-6.40222,1,0
1988,4,22.606,32.2,7.2,0,0
1988,5,0.254,36.7,6.1,0,0
1988,6,18.448671,38.51533,7.358996,1,1
1988,7,76.708,35.6,18.3,0,0
1988,8,156.464,35.038059,-19.864376,1,0
1988,9,30.734,36.7,10,0,0
1988,10,61.722,29.4,10.6,0,0
1988,11,8.89,27.8,0.6,0,0
1988,12,16.256,20,-5,0,0
1989,1,30.226,18.9,-2.8,0,0
1989,2,12.921217,25,0,0,1
1989,3,13.646129,31.31788,-1.050636,1,1
1989,4,0,33.9,6.7,0,0
1989,5,2.794,35.6,7.8,0,0
1989,6,0,41.65,13.3,0,0
1989,7,93.218,41.19,16.68,0,0
1989,8,24.13,35.27,14.11,0,0
1989,9,15.494,34.58,10.14,0,0
1989,10,28.702,32.48,0.059,0,0
1989,11,0,26.42,-3.161,0,0
1989,12,2.286,22.53,-8.38,0,0
1990,1,11.43,22.4,-5.596,0,0
1990,2,20.32,24.87,-8.65,0,0
1990,3,4.064,28.48,-3.912,0,0
1990,4,3.556,31.74,3.526,0,0
1990,5,3.556,35.65,3.877,0,0
1990,6,16.764,42.64,13.02,0,0
1990,7,83.058,35.84,17.05,0,0
1990,8,63.5,36.11,14.01,0,0
1990,9,46.228,36.74,13.19,0,0
1990,10,12.446,28.92,0.999,0,0
1990,11,49.784,25.34,-2.952,0,0
1990,12,26.924,20.33,-10.16,0,0
1991,1,23.876,19.47,-8.11,0,0
1991,2,25.654,23.22,-2.467,0,0
1991,3,25.654,25.59,-4.625,0,0
