"month","year","sumprecip","meanprecip","maxtemp","mintemp"
1,1966,40.8,0.548387096774194,17.8,-14.4
2,1966,42.2,0.62797619047619,17.2,-12.8
3,1966,4.2,0.0564516129032258,25,-12.8
4,1966,13.5,0.1875,26.1,-5
5,1966,2.8,0.0376344086021505,31.1,0.6
6,1966,42.4,0.588888888888889,35,3.3
7,1966,121.7,1.63575268817204,35.6,10.6
8,1966,140.9,1.89381720430108,32.2,5
9,1966,34.9,0.484722222222222,29.4,4.4
10,1966,0.6,0.00806451612903226,26.7,-6.1
11,1966,14.3,0.198611111111111,25,-7.8
12,1966,27.2,0.365591397849462,19.4,-14.4
1,1967,0,0,21.1,-15.6
2,1967,23.8,0.354166666666667,21.1,-11.7
3,1967,16.9,0.227150537634409,26.7,-9.4
4,1967,8.7,0.120833333333333,27.8,-3.9
5,1967,13,0.174731182795699,31.7,-6.7
6,1967,57.4,0.797222222222222,33.3,2.2
7,1967,213.1,2.86424731182796,34.4,11.1
8,1967,104.1,1.3991935483871,32.8,7.8
9,1967,192.5,2.67361111111111,29.4,3.9
10,1967,13.3,0.178763440860215,28.3,-5
11,1967,20.4,0.283333333333333,22.2,-6.1
12,1967,193.3,2.59811827956989,15.6,-15
1,1968,14.2,0.190860215053763,16.7,-10
2,1968,55.5,0.797413793103448,22.2,-7.8
3,1968,71.6,0.962365591397849,23.3,-7.2
4,1968,15.8,0.219444444444444,24.4,-6.1
5,1968,0,0,31.7,-1.1
6,1968,1,0.0138888888888889,36.1,0
7,1968,149.8,2.01344086021505,33.3,8.9
8,1968,85,1.14247311827957,29.4,6.1
9,1968,9.4,0.130555555555556,30.6,2.8
10,1968,3.3,0.0443548387096774,28.3,-3.3
11,1968,51.6,0.716666666666667,23.3,-6.1
12,1968,60.5,0.813172043010753,17.8,-14.4
1,1969,14.3,0.192204301075269,21.1,-13.3
2,1969,14.8,0.220238095238095,20,-12.2
3,1969,13.5,0.181451612903226,28.3,-10.6
4,1969,0,0,29.4,-3.9
5,1969,28.6,0.384408602150538,32.8,-2.2
6,1969,0.5,0.00694444444444444,37.2,4.4
7,1969,140.5,1.88844086021505,36.1,11.7
8,1969,52.6,0.706989247311828,35,11.1
9,1969,35.9,0.498611111111111,31.1,4.4
10,1969,31.5,0.423387096774194,28.3,-4.4
11,1969,13.4,0.186111111111111,21.1,-10.6
12,1969,36,0.483870967741935,19.4,-13.9
1,1970,0,0,23.9,-15.6
2,1970,15.2,0.226190476190476,22.8,-11.7
3,1970,40.7,0.547043010752688,21.7,-7.8
4,1970,12.4,0.172222222222222,24.4,-7.8
5,1970,3.3,0.0443548387096774,32.8,-4.4
6,1970,25.4,0.352777777777778,36.7,3.3
7,1970,88.4,1.18817204301075,NA,NA
8,1970,90.7,1.21908602150538,31.1,6.7
9,1970,39.7,0.551388888888889,31.7,1.7
10,1970,13.2,0.17741935483871,25.6,-8.9
11,1970,3.8,0.0527777777777778,24.4,-9.4
12,1970,27.1,0.364247311827957,21.7,-11.7
1,1971,7.2,0.0967741935483871,24.4,-18.3
2,1971,7.6,0.113095238095238,23.9,-11.1
3,1971,0,0,28.9,-13.3
4,1971,20.8,0.288888888888889,28.9,-5.6
5,1971,3.3,0.0443548387096774,30,-2.2
6,1971,0.3,0.00416666666666667,36.1,NA
7,1971,112.2,1.50806451612903,37.2,9.4
8,1971,132.2,1.77688172043011,NA,NA
9,1971,32.9,0.456944444444444,31.1,1.7
10,1971,130.8,1.75806451612903,NA,NA
11,1971,15.5,0.215277777777778,24.4,-6.1
12,1971,77.3,1.03897849462366,18.9,-12.2
1,1972,1,0.0134408602150538,22.2,-13.9
2,1972,0,0,24.4,-15
3,1972,0.8,0.010752688172043,26.7,-10
4,1972,0,0,30,-6.1
5,1972,4.9,0.0658602150537635,30,-1.7
6,1972,54.7,0.759722222222222,35.6,5
7,1972,118.9,1.59811827956989,35.6,10
8,1972,163.3,2.19489247311828,35,8.9
9,1972,78.5,1.09027777777778,28.9,3.9
10,1972,166.7,2.24059139784946,30,-1.1
11,1972,17.5,0.243055555555555,20.6,-8.9
12,1972,37.6,0.505376344086022,18.3,-11.1
1,1973,45,0.604838709677419,16.7,-12.8
2,1973,68.4,1.01785714285714,21.1,-11.1
3,1973,39.1,0.525537634408602,21.1,-7.8
4,1973,0.6,0.00833333333333333,25,-8.9
5,1973,35.8,0.481182795698925,30,-1.7
6,1973,9.6,0.133333333333333,36.7,3.3
7,1973,133.6,1.79569892473118,36.1,6.7
8,1973,50.1,0.673387096774194,32.2,5.6
9,1973,15.6,0.216666666666667,31.7,-0.6
10,1973,0,0,31.7,-3.9
11,1973,7.6,0.105555555555556,26.7,-9.4
12,1973,0,0,21.1,-12.2
1,1974,30.7,0.412634408602151,21.1,-10.6
2,1974,1.8,0.0267857142857143,21.1,-13.9
3,1974,5.8,0.0779569892473118,26.1,-8.9
4,1974,2.5,0.0347222222222222,28.9,-6.1
5,1974,0.5,0.00672043010752688,33.3,-3.3
6,1974,4,0.0555555555555556,37.2,2.2
7,1974,123.6,1.66129032258065,33.9,9.4
8,1974,58.2,0.782258064516129,31.7,6.7
9,1974,87.1,1.20972222222222,32.8,4.4
10,1974,71.4,0.959677419354839,26.7,-3.9
11,1974,7.1,0.0986111111111111,NA,NA
12,1974,13.2,0.17741935483871,17.8,-15
1,1975,35.4,0.475806451612903,22.8,-15.6
2,1975,7.2,0.107142857142857,20.6,-13.3
3,1975,34.2,0.459677419354839,23.3,-7.2
4,1975,13.7,0.190277777777778,26.1,-7.2
5,1975,3.1,0.0416666666666667,29.4,-4.4
6,1975,1.1,0.0152777777777778,34.4,3.3
7,1975,134.9,1.81317204301075,33.3,10.6
8,1975,24.8,0.333333333333333,32.8,8.3
9,1975,120,1.66666666666667,31.7,2.2
10,1975,4.8,0.0645161290322581,28.3,-3.3
11,1975,33.3,0.4625,23.9,-10
12,1975,32.1,0.431451612903226,18.9,-11.1
1,1976,15.6,0.209677419354839,18.9,-14.4
2,1976,54.6,0.78448275862069,24.4,-11.1
3,1976,10.4,0.139784946236559,23.9,-8.9
4,1976,12.2,0.169444444444444,26.7,-7.8
5,1976,27.5,0.369623655913978,30.6,-1.1
6,1976,10.5,0.145833333333333,33.9,1.7
7,1976,222.3,2.98790322580645,33.3,9.4
8,1976,64,0.860215053763441,32.8,8.9
9,1976,80.3,1.11527777777778,28.9,3.9
10,1976,80.3,1.07930107526882,24.4,-5
11,1976,25.2,0.35,20.6,-11.7
12,1976,3.8,0.0510752688172043,17.8,-10.6
1,1977,55.5,0.745967741935484,14.4,-12.2
2,1977,0.5,0.00744047619047619,22.8,-11.7
3,1977,3.8,0.0510752688172043,21.7,-11.1
4,1977,15,0.208333333333333,27.2,-7.2
5,1977,1.3,0.0174731182795699,33.3,-1.7
6,1977,27.2,0.377777777777778,35,3.3
7,1977,125.1,1.68145161290323,33.3,8.9
8,1977,87.1,1.17069892473118,32.2,10
9,1977,39.2,0.544444444444444,30.6,6.1
10,1977,63.2,0.849462365591398,30,-0.6
11,1977,22.6,0.313888888888889,25,-5.6
12,1977,28.3,0.380376344086022,21.7,-10.6
1,1978,76,1.02150537634409,20,-10
2,1978,47.8,0.711309523809524,20,-11.1
3,1978,41.2,0.553763440860215,25,-6.7
4,1978,3,0.0416666666666667,27.8,-5.6
5,1978,11.9,0.15994623655914,32.2,-3.3
6,1978,10.5,0.145833333333333,36.1,3.3
7,1978,123.5,1.65994623655914,36.1,7.8
8,1978,42.4,0.56989247311828,31.1,7.2
9,1978,18.9,0.2625,29.4,5.6
10,1978,42.2,0.567204301075269,29.4,-3.9
11,1978,79,1.09722222222222,23.9,-7.8
12,1978,123.7,1.66263440860215,20,-20.6
1,1979,86.6,1.16397849462366,16.1,-16.7
2,1979,19.1,0.28422619047619,21.1,-8.9
3,1979,22.6,0.303763440860215,22.8,-7.2
4,1979,9.6,0.133333333333333,27.2,-6.1
5,1979,9.7,0.130376344086022,28.9,-3.3
6,1979,55,0.763888888888889,35,3.9
7,1979,81.3,1.09274193548387,36.7,7.8
8,1979,54.5,0.73252688172043,33.3,6.7
9,1979,10,0.138888888888889,33.3,5
10,1979,0.5,0.00672043010752688,31.7,-6.1
11,1979,10.7,0.148611111111111,21.7,-12.2
12,1979,26.1,0.350806451612903,20.6,-11.7
1,1980,29.3,0.393817204301075,20.6,-11.1
