mo,yr,x
7,1977,2.6
8,1977,3.6
9,1977,4.8
10,1977,5.6
11,1977,4.9
12,1977,5.7
1,1978,4.8
2,1978,3.8
3,1978,4.2
4,1978,4.3
5,1978,5.2
6,1978,5.8
7,1978,5.3
8,1978,4.7
9,1978,6.5
10,1978,5.2
11,1978,5.1
12,1978,4.8
1,1979,2.9
2,1979,3.5
3,1979,3.3
4,1979,3.3
5,1979,4.5
6,1979,2.6
7,1979,2.9
8,1979,3.4
9,1979,3.2
10,1979,3.9
11,1979,4.6
12,1979,
1,1980,6.2
2,1980,4
3,1980,4.1
4,1980,4.5
5,1980,5.1
6,1980,4.8
7,1980,3.4
8,1980,4.222222222
9,1980,4.4
10,1980,3.9
11,1980,4.8
12,1980,6.3
1,1981,4.2
2,1981,5.8
3,1981,4.9
4,1981,5.4
5,1981,6.5
6,1981,5
7,1981,3.8
8,1981,2.7
9,1981,2.9
10,1981,4.8
11,1981,5.8
12,1981,5.9
1,1982,5.5
2,1982,9.4
3,1982,7.2
4,1982,6.5
5,1982,6.9
6,1982,7.7
7,1982,8.3
8,1982,9.3
9,1982,7.5
10,1982,
11,1982,10.8
12,1982,
1,1983,9.5
2,1983,6.6
3,1983,9.1
4,1983,8.6
5,1983,6.9
6,1983,6.3
7,1983,5
8,1983,6.5
9,1983,7.9
10,1983,8.1
11,1983,7.3
12,1983,6.7
1,1984,
2,1984,5.2
3,1984,4.4
4,1984,3.6
5,1984,3.8
6,1984,3.7
7,1984,3.6
8,1984,3.1
9,1984,4.9
10,1984,6
11,1984,
12,1984,4
1,1985,6.2
2,1985,5.4
3,1985,5
4,1985,
5,1985,3.7
6,1985,4.8
7,1985,5.7
8,1985,5.2
9,1985,6.5
10,1985,8
11,1985,8
12,1985,7.3
1,1986,
2,1986,
3,1986,6.9
4,1986,6.3
5,1986,5.8
6,1986,4.3
7,1986,5.6
8,1986,3.9
9,1986,4.1
10,1986,4.5
11,1986,6.5
12,1986,5.5
