mo,dy,yr,period
7,16,1977,1
8,19,1977,2
9,11,1977,3
10,16,1977,4
11,12,1977,5
12,10,1977,6
1,8,1978,7
2,18,1978,8
3,11,1978,9
4,8,1978,10
5,17,1978,11
6,8,1978,12
7,7,1978,13
8,4,1978,14
9,3,1978,15
10,6,1978,16
11,4,1978,17
12,2,1978,18
1,28,1979,19
2,24,1979,20
3,31,1979,21
4,28,1979,22
5,29,1979,23
7,3,1979,24
7,24,1979,25
8,21,1979,26
9,22,1979,27
10,24,1979,28
11,17,1979,29
1,15,1980,30
2,24,1980,31
3,21,1980,32
4,17,1980,33
5,17,1980,34
6,22,1980,35
7,21,1980,36
8,13,1980,37
9,7,1980,38
10,11,1980,39
11,8,1980,40
12,15,1980,41
1,11,1981,42
1,31,1981,43
3,8,1981,44
5,3,1981,45
6,4,1981,46
7,7,1981,47
7,30,1981,48
8,30,1981,49
9,29,1981,50
10,24,1981,51
11,22,1981,52
12,30,1981,53
1,24,1982,54
2,22,1982,55
3,29,1982,56
4,28,1982,57
5,21,1982,58
6,28,1982,59
7,25,1982,60
8,15,1982,61
9,18,1982,62
11,21,1982,63
1,12,1983,64
2,26,1983,65
3,14,1983,66
4,16,1983,67
5,14,1983,68
6,17,1983,69
7,16,1983,70
8,15,1983,71
9,10,1983,72
10,15,1983,73
11,12,1983,74
12,8,1983,75
2,4,1984,76
3,12,1984,77
4,9,1984,78
5,27,1984,79
7,3,1984,80
7,31,1984,81
8,25,1984,82
9,29,1984,83
10,20,1984,84
12,30,1984,85
1,19,1985,86
2,16,1985,87
3,16,1985,88
5,23,1985,89
6,15,1985,90
7,23,1985,91
8,19,1985,92
9,21,1985,93
10,12,1985,94
11,16,1985,95
12,7,1985,96
3,8,1986,97
4,12,1986,98
5,10,1986,99
6,4,1986,100
7,3,1986,101
8,9,1986,102
9,6,1986,103
10,4,1986,104
11,15,1986,105
12,14,1986,106
1,31,1987,107
3,1,1987,108
4,4,1987,109
4,25,1987,110
5,28,1987,111
6,30,1987,112
7,25,1987,113
8,25,1987,114
9,26,1987,115
10,24,1987,116
11,21,1987,117
1,23,1988,118
2,21,1988,119
3,20,1988,120
4,17,1988,121
5,14,1988,122
6,11,1988,123
7,14,1988,124
8,9,1988,125
9,11,1988,126
10,8,1988,127
11,5,1988,128
12,13,1988,129
1,10,1989,130
2,4,1989,131
3,11,1989,132
4,1,1989,133
5,9,1989,134
6,3,1989,135
7,3,1989,136
7,29,1989,137
9,3,1989,138
10,7,1989,139
11,4,1989,140
12,4,1989,141
1,6,1990,142
1,29,1990,143
2,24,1990,144
3,29,1990,145
4,24,1990,146
5,23,1990,147
6,21,1990,148
7,21,1990,149
8,16,1990,150
9,22,1990,151
10,15,1990,152
11,10,1990,153
12,15,1990,154
1,11,1991,155
2,16,1991,156
3,13,1991,157
4,19,1991,158
5,13,1991,159
6,13,1991,160
7,12,1991,161
8,7,1991,162
9,9,1991,163
10,10,1991,164
11,13,1991,165
12,7,1991,166
1,8,1992,167
2,6,1992,168
3,7,1992,169
4,4,1992,170
5,2,1992,171
5,30,1992,172
7,3,1992,173
7,30,1992,174
8,29,1992,175
9,26,1992,176
10,18,1992,177
12,21,1992,178
1,23,1993,179
2,19,1993,180
3,17,1993,181
4,23,1993,182
5,22,1993,183
6,18,1993,184
7,14,1993,185
8,19,1993,186
9,16,1993,187
10,15,1993,188
11,13,1993,189
12,14,1993,190
2,1,1994,191
2,20,1994,192
3,11,1994,193
4,10,1994,194
5,18,1994,195
6,14,1994,196
7,8,1994,197
8,17,1994,198
9,6,1994,199
10,12,1994,200
11,1,1994,201
12,4,1994,202
1,11,1995,203
2,4,1995,204
3,4,1995,205
4,1,1995,206
4,29,1995,207
6,7,1995,208
6,27,1995,209
7,20,1995,210
8,26,1995,211
9,23,1995,212
10,28,1995,213
12,2,1995,214
12,21,1995,215
1,27,1996,216
2,24,1996,217
3,23,1996,218
4,14,1996,219
5,23,1996,220
6,13,1996,221
7,20,1996,222
8,14,1996,223
9,21,1996,224
10,12,1996,225
11,16,1996,226
12,18,1996,227
2,8,1997,228
2,9,1997,228
3,15,1997,229
3,16,1997,229
4,12,1997,230
4,13,1997,230
5,10,1997,231
5,11,1997,231
6,9,1997,232
6,10,1997,232
6,11,1997,232
7,9,1997,233
7,10,1997,233
7,29,1997,234
7,30,1997,234
9,27,1997,235
9,28,1997,235
10,25,1997,236
10,26,1997,236
11,22,1997,237
12,28,1997,238
12,29,1997,238
1,31,1998,239
2,1,1998,239
3,1,1998,240
3,2,1998,240
3,29,1998,241
5,2,1998,242
5,3,1998,242
5,28,1998,243
5,29,1998,243
6,27,1998,244
6,28,1998,244
7,18,1998,245
7,19,1998,245
8,22,1998,246
8,23,1998,246
9,19,1998,247
9,20,1998,247
9,21,1998,247
10,24,1998,248
10,25,1998,248
11,21,1998,249
11,22,1998,249
12,22,1998,250
12,23,1998,250
1,16,1999,251
1,17,1999,251
2,20,1999,252
2,21,1999,252
3,14,1999,253
3,15,1999,253
4,17,1999,254
4,18,1999,254
5,15,1999,255
5,16,1999,255
6,12,1999,256
6,13,1999,256
9,11,1999,257
9,12,1999,257
10,9,1999,258
10,10,1999,258
11,6,1999,259
11,7,1999,259
12,5,1999,260
12,6,1999,260
1,8,2000,261
1,10,2000,261
2,5,2000,262
2,6,2000,262
3,4,2000,263
3,5,2000,263
4,29,2000,264
4,30,2000,264
6,3,2000,265
6,4,2000,265
7,1,2000,266
7,2,2000,266
7,22,2000,267
7,23,2000,267
8,25,2000,268
8,26,2000,268
9,30,2000,269
10,1,2000,269
11,25,2000,270
11,26,2000,270
