"period","mo","dy","yr","date","plots"
1,7,16,1977,1977-07-16,23
2,8,19,1977,1977-08-19,23
3,9,11,1977,1977-09-11,23
4,10,16,1977,1977-10-16,23
5,11,12,1977,1977-11-12,23
6,12,10,1977,1977-12-10,23
7,1,8,1978,1978-01-08,23
8,2,18,1978,1978-02-18,23
9,3,11,1978,1978-03-11,23
10,4,8,1978,1978-04-08,23
11,5,17,1978,1978-05-17,23
12,6,8,1978,1978-06-08,23
13,7,7,1978,1978-07-07,23
14,8,4,1978,1978-08-04,23
15,9,3,1978,1978-09-03,23
16,10,6,1978,1978-10-06,23
17,11,4,1978,1978-11-04,23
18,12,2,1978,1978-12-02,23
19,1,28,1979,1979-01-28,23
20,2,24,1979,1979-02-24,23
21,3,31,1979,1979-03-31,23
22,4,28,1979,1979-04-28,23
23,5,29,1979,1979-05-29,23
24,7,3,1979,1979-07-03,23
25,7,24,1979,1979-07-24,23
26,8,21,1979,1979-08-21,23
27,9,22,1979,1979-09-22,24
28,10,24,1979,1979-10-24,24
29,11,17,1979,1979-11-17,24
30,1,15,1980,1980-01-15,24
31,2,24,1980,1980-02-24,24
32,3,21,1980,1980-03-21,24
33,4,17,1980,1980-04-17,24
34,5,17,1980,1980-05-17,24
35,6,22,1980,1980-06-22,24
36,7,21,1980,1980-07-21,24
37,8,13,1980,1980-08-13,24
38,9,7,1980,1980-09-07,24
39,10,11,1980,1980-10-11,24
40,11,8,1980,1980-11-08,24
41,12,15,1980,1980-12-15,24
42,1,11,1981,1981-01-11,23
43,1,31,1981,1981-01-31,24
44,3,8,1981,1981-03-08,24
45,5,3,1981,1981-05-03,24
46,6,4,1981,1981-06-04,24
47,7,7,1981,1981-07-07,24
48,7,30,1981,1981-07-30,24
49,8,30,1981,1981-08-30,24
50,9,29,1981,1981-09-29,24
51,10,24,1981,1981-10-24,24
52,11,22,1981,1981-11-22,24
53,12,30,1981,1981-12-30,24
54,1,24,1982,1982-01-24,24
55,2,22,1982,1982-02-22,24
56,3,29,1982,1982-03-29,24
57,4,28,1982,1982-04-28,24
58,5,21,1982,1982-05-21,24
59,6,28,1982,1982-06-28,24
60,7,25,1982,1982-07-25,24
61,8,15,1982,1982-08-15,24
62,9,18,1982,1982-09-18,24
63,11,21,1982,1982-11-21,24
64,1,12,1983,1983-01-12,24
65,2,26,1983,1983-02-26,24
66,3,14,1983,1983-03-14,24
67,4,16,1983,1983-04-16,24
68,5,14,1983,1983-05-14,24
69,6,17,1983,1983-06-17,24
70,7,16,1983,1983-07-16,24
71,8,15,1983,1983-08-15,24
72,9,10,1983,1983-09-10,24
73,10,15,1983,1983-10-15,24
74,11,12,1983,1983-11-12,24
75,12,8,1983,1983-12-08,24
76,2,4,1984,1984-02-04,24
77,3,12,1984,1984-03-12,24
78,4,9,1984,1984-04-09,24
79,5,27,1984,1984-05-27,24
80,7,3,1984,1984-07-03,24
81,7,31,1984,1984-07-31,24
82,8,25,1984,1984-08-25,24
83,9,29,1984,1984-09-29,24
84,10,20,1984,1984-10-20,24
