STATION,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT11,WT04,WT03
GHCND:USC00026716,19660101,-9999,-9999,-9999,-9999,0,0,0,83,-33,-33,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660102,-9999,-9999,-9999,-9999,0,0,0,56,-100,-28,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660103,-9999,-9999,-9999,-9999,0,0,0,72,-111,-22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660104,-9999,-9999,-9999,-9999,0,0,0,89,-117,-28,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660105,-9999,-9999,-9999,-9999,0,0,0,111,-117,-11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660106,-9999,-9999,-9999,-9999,0,0,0,133,-83,-6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660107,-9999,-9999,-9999,-9999,0,0,0,150,-78,-6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660108,-9999,-9999,-9999,-9999,0,0,0,133,-61,44,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660109,-9999,-9999,-9999,-9999,0,0,0,150,-50,33,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660110,-9999,-9999,-9999,-9999,0,0,0,178,-67,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660111,-9999,-9999,-9999,-9999,0,0,0,139,-44,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660112,-9999,-9999,-9999,-9999,0,0,0,117,-56,28,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660113,-9999,-9999,-9999,-9999,0,0,0,78,-83,44,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660114,-9999,-9999,-9999,-9999,0,0,0,100,-94,-11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660115,-9999,-9999,-9999,-9999,0,0,0,122,-67,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660116,-9999,-9999,-9999,-9999,0,0,0,78,-83,22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660117,-9999,-9999,-9999,-9999,46,0,10,28,-50,-11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660118,-9999,-9999,-9999,-9999,229,178,203,33,-22,6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660119,-9999,-9999,-9999,-9999,36,178,51,78,-56,11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660120,-9999,-9999,-9999,-9999,18,152,0,83,-89,17,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660121,-9999,-9999,-9999,-9999,15,-9999,25,56,-39,-22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660122,-9999,-9999,-9999,-9999,0,-9999,0,44,-144,-22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660123,-9999,-9999,-9999,-9999,0,-9999,0,89,-122,-17,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660124,-9999,-9999,-9999,-9999,0,-9999,0,78,-122,-22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660125,-9999,-9999,-9999,-9999,0,-9999,0,67,-128,-11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660126,-9999,-9999,-9999,-9999,0,0,0,94,-128,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660127,-9999,-9999,-9999,-9999,0,0,0,78,-106,11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660128,-9999,-9999,-9999,-9999,0,0,0,111,-106,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660129,-9999,-9999,-9999,-9999,0,0,0,139,-94,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660130,-9999,-9999,-9999,-9999,0,0,0,156,-56,78,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660131,-9999,-9999,-9999,-9999,64,25,102,106,-6,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660201,-9999,-9999,-9999,-9999,0,-9999,0,78,-44,28,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660202,-9999,-9999,-9999,-9999,0,-9999,0,83,-72,28,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660203,-9999,-9999,-9999,-9999,0,-9999,0,94,-94,22,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660204,-9999,-9999,-9999,-9999,0,-9999,0,139,-100,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660205,-9999,-9999,-9999,-9999,0,-9999,0,172,-50,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660206,-9999,-9999,-9999,-9999,0,-9999,0,172,-44,117,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660207,-9999,-9999,-9999,-9999,97,-9999,0,128,44,72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660208,-9999,-9999,-9999,-9999,203,-9999,25,78,-17,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660209,-9999,-9999,-9999,-9999,51,-9999,76,22,-33,-6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660210,-9999,-9999,-9999,-9999,0,-9999,13,33,-94,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660211,-9999,-9999,-9999,-9999,38,-9999,76,44,-22,6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660212,-9999,-9999,-9999,-9999,0,-9999,0,94,-117,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660213,-9999,-9999,-9999,-9999,0,-9999,0,67,-50,17,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660214,-9999,-9999,-9999,-9999,0,-9999,0,78,-128,33,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660215,-9999,-9999,-9999,-9999,0,-9999,0,106,-94,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660216,-9999,-9999,-9999,-9999,0,-9999,0,72,-117,11,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660217,-9999,-9999,-9999,-9999,0,-9999,0,111,-117,44,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660218,-9999,-9999,-9999,-9999,0,-9999,0,150,-94,72,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660219,-9999,-9999,-9999,-9999,0,-9999,0,167,-78,83,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660220,-9999,-9999,-9999,-9999,0,-9999,0,172,-67,83,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660221,-9999,-9999,-9999,-9999,0,-9999,0,144,-67,89,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660222,-9999,-9999,-9999,-9999,0,-9999,0,94,-72,67,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660223,-9999,-9999,-9999,-9999,0,-9999,0,67,-83,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660224,-9999,-9999,-9999,-9999,0,-9999,0,100,-83,89,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660225,-9999,-9999,-9999,-9999,0,-9999,0,106,11,100,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660226,-9999,-9999,-9999,-9999,20,-9999,0,100,-67,39,-9999,-9999,-9999,1,-9999
GHCND:USC00026716,19660227,-9999,-9999,-9999,-9999,13,-9999,0,106,-39,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660228,-9999,-9999,-9999,-9999,0,-9999,0,150,-89,100,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660301,-9999,-9999,-9999,-9999,3,0,0,172,-56,100,-9999,1,-9999,-9999,-9999
GHCND:USC00026716,19660302,-9999,-9999,-9999,-9999,0,0,0,100,33,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660303,-9999,-9999,-9999,-9999,36,0,13,61,-67,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660304,-9999,-9999,-9999,-9999,0,0,0,94,-128,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660305,-9999,-9999,-9999,-9999,0,0,0,122,-111,67,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660306,-9999,-9999,-9999,-9999,0,0,0,133,-33,111,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660307,-9999,-9999,-9999,-9999,0,0,0,200,-33,133,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660308,-9999,-9999,-9999,-9999,0,0,0,217,-39,133,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660309,-9999,-9999,-9999,-9999,0,0,0,228,-33,150,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660310,-9999,-9999,-9999,-9999,0,0,0,239,-56,150,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660311,-9999,-9999,-9999,-9999,0,0,0,211,-33,133,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660312,-9999,-9999,-9999,-9999,0,0,0,211,-28,122,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660313,-9999,-9999,-9999,-9999,0,0,0,222,-11,156,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660314,-9999,-9999,-9999,-9999,0,0,0,239,11,150,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660315,-9999,-9999,-9999,-9999,0,0,0,228,-6,150,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660316,-9999,-9999,-9999,-9999,0,0,0,222,-22,172,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660317,-9999,-9999,-9999,-9999,0,0,0,222,-28,156,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660318,-9999,-9999,-9999,-9999,0,0,0,239,-33,167,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660319,-9999,-9999,-9999,-9999,0,0,0,250,-28,189,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660320,-9999,-9999,-9999,-9999,0,0,0,233,11,167,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660321,-9999,-9999,-9999,-9999,0,0,0,206,-11,167,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660322,-9999,-9999,-9999,-9999,0,0,0,211,-11,122,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660323,-9999,-9999,-9999,-9999,0,0,0,117,-56,83,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660324,-9999,-9999,-9999,-9999,3,0,0,178,6,133,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660325,-9999,-9999,-9999,-9999,0,0,0,189,22,122,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660326,-9999,-9999,-9999,-9999,0,0,0,167,-28,111,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660327,-9999,-9999,-9999,-9999,0,0,0,183,-33,111,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660328,-9999,-9999,-9999,-9999,0,0,0,183,-28,128,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660329,-9999,-9999,-9999,-9999,0,0,0,194,-28,156,-9999,-9999,-9999,-9999,-9999
GHCND:USC00026716,19660330,-9999,-9999,-9999,-9999,0,0,0,222,-33,189,-9999,-9999,-9999,-9999,-9999
