year,plot,stake,species,abundance
2014,1,11,phac ariz,8
2014,1,11,sper echi,2
2014,1,11,desc pinn,3
2014,1,11,erod cicu,1
2014,1,13,pect recu,6
2014,1,13,erod cicu,2
2014,1,13,astr nutt,1
2014,1,13,phac ariz,2
2014,1,13,desc pinn,4
2014,1,13,lina bige,8
2014,1,13,eria diff,3
2014,1,13,lepi lasi,6
2014,1,13,unk forb,1
2014,1,15,x,0
2014,1,17,erod cicu,1
2014,1,17,astr nutt,3
2014,1,17,desc pinn,6
2014,1,17,phac ariz,1
2014,1,17,lina bige,3
2014,1,17,pect recu,1
2014,1,37,astr nutt,2
2014,1,37,erod cicu,1
2014,1,37,desc obtu,1
2014,1,35,phac ariz,3
2014,1,35,astr nutt,1
2014,1,35,unk forb,1
2014,1,33,astr nutt,2
2014,1,33,phac ariz,18
2014,1,33,erod cicu,3
2014,1,33,lepi lasi,1
2014,1,33,plag ariz,1
2014,1,31,astr allo,1
2014,1,31,sper echi,1
2014,1,31,desc pinn,3
2014,1,51,sper echi,10
2014,1,51,erod cicu,9
2014,1,51,desc pinn,2
2014,1,51,lepi lasi,2
2014,1,51,astr nutt,5
2014,1,51,phac ariz,4
2014,1,51,gili sinu,1
2014,1,53,erod cicu,5
2014,1,53,astr nutt,6
2014,1,53,plag ariz,1
2014,1,55,phac ariz,1
2014,1,57,astr nutt,3
2014,1,57,phac ariz,3
2014,1,77,esch mexi,1
2014,1,77,cryp micr,4
2014,1,77,sper echi,1
2014,1,77,lina bige,7
2014,1,77,eria diff,1
2014,1,77,desc pinn,19
2014,1,77,lepi lasi,3
2014,1,75,astr nutt,1
2014,1,75,phac ariz,1
2014,1,75,pect recu,1
2014,1,73,phac ariz,2
2014,1,73,desc pinn,4
2014,1,73,sper echi,1
2014,1,71,desc pinn,1
2014,1,71,erod cicu,1
2014,1,71,lina bige,1
2014,1,71,eria diff,2
2014,2,31,sper echi,3
2014,2,31,phac ariz,3
2014,2,31,desc pinn,4
2014,2,33,phac ariz,17
2014,2,33,eria diff,1
2014,2,33,lina bige,3
2014,2,33,desc pinn,12
2014,2,33,cryp micr,3
2014,2,33,plan purs,2
2014,2,33,gili sinu,2
2014,2,33,erod cicu,2
2014,2,33,astr nutt,1
2014,2,35,desc obtu,1
2014,2,35,desc pinn,10
2014,2,37,x,0
2014,2,77,esch mexi,11
2014,2,77,sper echi,6
2014,2,77,desc pinn,11
2014,2,77,lina bige,5
2014,2,75,desc pinn,18
2014,2,75,sper echi,2
2014,2,73,desc pinn,1
2014,2,11,pect recu,1
2014,2,11,erod cicu,2
2014,2,11,phac ariz,1
2014,2,11,lina bige,1
2014,2,13,x,0
2014,2,15,desc pinn,1
2014,2,15,erod cicu,2
2014,2,17,phac ariz,3
2014,2,57,esch mexi,3
2014,2,57,desc pinn,4
2014,2,57,phac ariz,1
2014,2,55,esch mexi,1
2014,2,55,phac ariz,7
2014,2,53,phac ariz,2
2014,2,51,sper echi,3
2014,2,51,phac ariz,24
2014,2,51,lina bige,24
2014,2,51,erod cicu,1
2014,2,51,desc pinn,9
2014,2,51,gili sinu,3
2014,2,51,eria diff,1
2014,2,71,desc pinn,11
2014,3,11,desc pinn,8
2014,3,13,x,0
2014,3,15,astr nutt,1
2014,3,15,erod cicu,1
2014,3,17,astr nutt,1
2014,3,37,astr nutt,19
2014,3,37,lesq gord,5
2014,3,37,erod cicu,14
2014,3,37,chae stev,1
2014,3,37,plan purs,1
2014,3,37,lina bige,4
2014,3,37,desc pinn,8
2014,3,35,erod cicu,23
2014,3,35,astr nutt,4
2014,3,31,phac ariz,2
2014,3,31,erod cicu,9
2014,3,31,pect recu,1
2014,3,31,astr nutt,1
2014,3,31,sper echi,1
2014,3,31,chae stev,1
2014,3,33,erod cicu,5
2014,3,33,lesq gord,1
2014,3,35,erod cicu,10
2014,3,35,astr nutt,3
2014,3,35,lina bige,1
2014,3,37,erod cicu,2
2014,3,37,astr nutt,1
2014,3,77,astr nutt,6
2014,3,75,erod cicu,1
2014,3,73,erod cicu,6
