year,plot,stake,species,abundance
1991,24,35,Ambr arte,1
1992,24,35,Ambr arte,1
1995,12,55,Ambr arte,1
1995,19,11,Ambr arte,1
1997,2,71,Ambr arte,1
1997,10,31,Ambr arte,1
1998,8,51,Ambr arte,1
1999,1,11,Ambr arte,1
2002,12,75,Ambr arte,1
2012,18,57,ambr arte,1
2012,8,37,ambr arte,1
1993,9,15,Ambr arte,2
1994,9,15,Ambr arte,2
1995,24,15,Ambr arte,2
2012,12,37,ambr arte,2
2012,11,13,ambr arte,2
2012,9,53,ambr arte,2
1995,1,15,Ambr arte,3
2002,2,73,Ambr arte,3
1993,12,11,Ambr arte,4
1995,9,15,Ambr arte,4
1995,12,11,Ambr arte,4
1997,13,11,Ambr arte,4
1994,12,11,Ambr arte,8
1997,9,15,Ambr arte,8
1997,24,15,Ambr arte,8
1997,12,11,Ambr arte,10
1997,7,77,Amsi inte,1
2012,6,53,amsi inte,1
2014,10,73,amsi inte,1
2004,6,15,Amsi tess,1
2005,5,75,Amsi tess,1
2005,6,15,Amsi tess,1
2005,9,75,Amsi tess,1
2005,12,57,Amsi tess,1
2005,16,37,Amsi tess,1
2005,22,53,Amsi tess,1
2008,5,33,Amsi tess,1
2008,6,15,Amsi tess,1
2005,4,51,Amsi tess,2
2005,6,17,Amsi tess,2
2005,1,37,Amsi tess,3
2005,6,71,Amsi tess,3
2005,22,55,Andr occi,1
1998,22,55,Andr occi,2
1997,22,55,Andr occi,17
1982,3,33,Astr allo,1
1982,3,55,Astr allo,1
1982,5,77,Astr allo,1
1982,6,35,Astr allo,1
1982,8,33,Astr allo,1
1982,8,77,Astr allo,1
1982,16,33,Astr allo,1
1982,21,17,Astr allo,1
1982,23,11,Astr allo,1
1983,4,13,Astr allo,1
1983,6,11,Astr allo,1
1983,6,33,Astr allo,1
1983,6,57,Astr allo,1
1983,9,31,Astr allo,1
1983,9,77,Astr allo,1
1983,10,17,Astr allo,1
1983,10,33,Astr allo,1
1983,10,51,Astr allo,1
1983,10,71,Astr allo,1
1983,10,73,Astr allo,1
1983,14,11,Astr allo,1
1983,15,77,Astr allo,1
1983,16,17,Astr allo,1
1983,24,11,Astr allo,1
1983,24,13,Astr allo,1
1984,1,37,Astr allo,1
1984,2,31,Astr allo,1
1984,2,51,Astr allo,1
1984,2,55,Astr allo,1
1984,3,15,Astr allo,1
1984,3,37,Astr allo,1
1984,3,51,Astr allo,1
1984,3,53,Astr allo,1
1984,3,57,Astr allo,1
1984,3,77,Astr allo,1
1984,5,11,Astr allo,1
1984,5,15,Astr allo,1
1984,5,17,Astr allo,1
1984,6,71,Astr allo,1
1984,7,71,Astr allo,1
1984,8,55,Astr allo,1
1984,8,75,Astr allo,1
1984,9,55,Astr allo,1
1984,9,75,Astr allo,1
1984,10,31,Astr allo,1
1984,10,77,Astr allo,1
1984,11,11,Astr allo,1
1984,11,31,Astr allo,1
1984,12,13,Astr allo,1
1984,13,51,Astr allo,1
1984,13,55,Astr allo,1
1984,14,57,Astr allo,1
1984,14,75,Astr allo,1
1984,15,11,Astr allo,1
1984,15,77,Astr allo,1
1984,16,31,Astr allo,1
1984,17,55,Astr allo,1
1984,21,51,Astr allo,1
1984,21,57,Astr allo,1
1984,21,71,Astr allo,1
1984,21,77,Astr allo,1
1984,22,11,Astr allo,1
1984,22,31,Astr allo,1
1984,22,53,Astr allo,1
1984,23,11,Astr allo,1
1984,23,31,Astr allo,1
1984,23,35,Astr allo,1
1984,23,55,Astr allo,1
1984,24,11,Astr allo,1
1984,24,13,Astr allo,1
1984,24,15,Astr allo,1
1985,1,11,Astr allo,1
1985,1,13,Astr allo,1
1985,1,35,Astr allo,1
1985,2,31,Astr allo,1
1985,2,73,Astr allo,1
1985,2,77,Astr allo,1
1985,3,11,Astr allo,1
1985,3,71,Astr allo,1
1985,4,37,Astr allo,1
1985,4,53,Astr allo,1
1985,6,31,Astr allo,1
1985,6,57,Astr allo,1
1985,8,37,Astr allo,1
1985,8,51,Astr allo,1
1985,8,75,Astr allo,1
1985,9,13,Astr allo,1
1985,9,15,Astr allo,1
1985,10,51,Astr allo,1
1985,10,77,Astr allo,1
1985,11,11,Astr allo,1
1985,11,15,Astr allo,1
1985,13,71,Astr allo,1
1985,14,13,Astr allo,1
1985,17,53,Astr allo,1
1985,19,37,Astr allo,1
1985,21,57,Astr allo,1
1985,23,37,Astr allo,1
1985,23,53,Astr allo,1
1985,23,73,Astr allo,1
