period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
1.0,0.0,156.40558156971625,0.0,51.545619279466095,65.03720556299386,0.0,0.0,0.0,7.176933451476985,3.2990751896048396,0.0,0.0,0.0,0.0,18.057309010648204,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,232.22212242059314,13.772880746434938,77.31842891919914,65.03720556299386,0.0,0.0,0.0,0.0,13.12654019047643,0.0,0.0,0.0,0.0,11.440244260423947,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,253.2620278871209,0.0,206.1824771178644,130.07441112598772,0.0,0.0,0.0,6.472729830838108,7.079057652832834,0.0,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,246.99730539528363,33.83880948729845,309.2737156767966,130.07441112598772,14.447247558337482,21.703032209536183,0.0,7.176933451476985,3.3832942421827417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,181.950448005081,11.099942643532774,229.5707655305252,162.59301390748465,18.72257470940397,7.748452969850525,0.0,0.0,5.787566213877076,0.0,0.0,0.0,0.0,0.0,0.0,3.0608765165061076,0.0,0.0,0.0,0.0
6.0,0.0,196.9828690549687,11.524183685546301,340.92041355363057,162.59301390748465,9.361287354701984,38.74226484925262,0.0,0.0,8.752454584346776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,217.10883515584936,0.0,245.990037621335,130.07441112598772,18.72257470940397,23.245358909551573,0.0,7.225023932697846,3.0608765165061076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,180.41428343552417,0.0,250.42238431716447,77.75199128146376,10.234657475717313,15.664259845793655,0.0,7.952016744983628,6.359951706110947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,133.7446172538641,14.75463332715717,332.40072357997417,32.51860278149693,9.361287354701984,42.77548636664935,0.0,17.545808595898766,9.743245948293689,0.0,0.0,0.0,0.0,0.0,0.0,4.100283579832059,0.0,0.0,0.0,0.0
10.0,0.0,169.57751791050038,14.364625120789995,396.4271514931029,32.51860278149693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,168.73654900440636,20.383803684246377,416.68237843211386,0.0,0.0,9.117236498979645,0.0,0.0,3.0608765165061076,0.0,0.0,0.0,7.225023932697846,10.290589943013437,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,130.57979961737567,36.19920818007464,459.975372898539,65.99545584276478,8.888342431114262,0.0,0.0,0.0,9.827465000871591,0.0,0.0,0.0,0.0,5.421141256874546,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,192.43120200766543,23.366571194779432,456.7156046269504,24.650805328752586,8.888342431114262,7.225023932697846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.689652675416358,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,184.93420948373287,10.885790623315094,372.7230420890099,104.27226578502216,0.0,0.0,0.0,11.620490011366634,0.0,0.0,0.0,0.0,0.0,6.215508407283008,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,246.7396208142765,14.168295276963368,437.8716510753986,130.81628628739648,9.792819152572282,22.18728326469564,0.0,12.68127463437164,6.109983939553709,0.0,0.0,0.0,0.0,22.962668528343634,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,172.74078600006862,25.73117450158271,339.69252986706783,130.07441112598772,9.117236498979645,0.0,0.0,0.0,5.453379394741936,0.0,0.0,0.0,0.0,5.421141256874546,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,170.99424158088837,38.88335478055181,183.3345208135841,71.29342498369867,27.10775148214129,45.75967300797952,0.0,7.225023932697846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.60937323583481,0.0
18.0,0.0,164.68293638907735,25.923874196690768,181.28979683419394,74.38194640253741,93.60478835131195,15.700469714834153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,181.2024277406547,13.772880746434938,83.0724896653609,0.0,40.913488242646864,17.306640387851854,0.0,8.189403888872208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
